1;Elmont Me?imurje - 74,75,76;272,87;44,28;2,72;44,28;2,99;44,28;3,34
2;Vodoinstalateri - 79,80,81,82,84;239,39;66,61;4,10;225,80;15,22;66,61;5,03
3;Udruga hrvatskih vojnih invalida domovinskog rata Jug - 30;17,01;20,40;1,25;20,40;1,38;20,40;1,54
4;Hrvatska stranka prava Dr.Ante Star?evi? - 54;7,34;16,62;1,02;16,62;1,12;16,62;1,26
5;Agacija p?elarska udruga - 26,26A;30,90;22,70;1,40;22,70;1,53;22,70;1,71
6;"Udruga ""Lotos"", ?akovec - 61,62,63 dio";341,72;63,41;3,90;63,41;4,28;63,41;4,79
7;"Pjeva?ki zbor"" Josip ?tolcer Slavenski"" - 27";22,86;37,68;2,32;37,68;2,54;37,68;2,85
8;Udruga inovatora Me?imurja Inoma - 33;5,40;17,20;1,06;17,20;1,16;17,20;1,30
9;Dru?tvo pedagoga tehni?ke kulture Me?im. ?upanije - 37,38;55,07;30,72;1,89;30,72;2,07;30,72;2,32
10;Dru?tvo multipleskleroze Hrvatske, sekcija Me?. ?up. - 63,64,65;122,26;44,63;2,74;44,63;3,01;44,63;3,37
11;Udruga me?imurske mame i trudnice - 48,48A,48B;74,79;38,10;2,34;38,10;2,57;38,10;2,88
12;Sathya sai Vije?e Hrvatske - 23;75,14;13,50;0,83;13,50;0,91;13,50;1,02
13;"Me?imurski biciklisti?ki klub ""Mura"" - 28,28A";6,56;20,91;1,29;20,91;1,41;20,91;1,58
14;"Ving chun kung fu klub ""Gemma"" - 89,90,91";413,18;59,79;3,68;59,79;4,03;59,79;4,52
15;Ministarstvo branitelja - 50,51,51A ;236,46;47,30;2,91;47,30;3,19;47,30;3,57
16;"Udruga ""Sklad"" - 3,4";28,41;25,60;1,57;25,60;1,73;25,60;1,93
17;"Udruga ""Umije?e ?ivljenja"" - 39,40";204,86;37,24;2,29;37,24;2,51;37,24;2,81
18;Grad ?akovec - 34,35,78;321,81;74,37;4,57;74,37;5,01;74,37;5,62
19;Radio klub Me?imurje - 60;5,69;18,12;1,11;18,12;1,22;18,12;1,37
20;Udruga Kreativci Me?imurja - 44;89,61;48,8;3,00;48,8;3,29;48,8;3,69
21;?upanijska liga protiv raka   klub laringektamiranih - 86;26,70;21,52;1,32;21,52;1,45;21,52;1,63
22;Ko?arka?ki savez Me?imurske ?upanije - 1;13,24;13,77;0,85;13,77;0,93;13,77;1,04
23;Udruga Zora - 67,68;145,39;30,37;1,87;30,37;2,05;30,37;2,29
24;"Udruga za razvoj kulture ""ETNO"" - 43A";6,28;20,00;1,23;20,00;1,35;20,00;1,51
25;Udruga za sindrom Down M? - 93,94;24,84;29,09;1,79;29,09;1,96;29,09;2,20
26;?portsko ribolovno dru?tvo ?akovec - 77;2,93;8,00;0,49;8,00;0,54;8,00;0,60
27;Savez sportskih ribolovnih dru?tava Me?imurje - 25;130,33;13,50;0,83;13,50;0,91;13,50;1,02
28;Ambijenti, ?akovec - 1,2,3,4,5,6,7,8,9,10,10A,13;1205,28;168,79;10,38;18,29;1,23;18,29;1,38
29;Ambijenti, ?akovec;0,00;50,30;3,09;0,00;0,00;0,00;0,00
30;Padobranski klub LUDUS - 32;10,21;17,67;1,09;17,67;1,19;17,67;1,33
31;Udruga Vukovarskih branitelja i log .Me?.?upanije - 22;8,22;26,18;1,61;26,18;1,77;26,18;1,98
32;Zajednica HKUU Me?imimurske ?upanije;4,13;13,16;0,81;13,16;0,89;13,16;0,99
33;Me?imurje Wireless - 24;4,66;13,50;0,83;13,50;0,91;13,50;1,02
34;Tehnoing - 7,8,9,10,11;84,45;0,00;0,00;0,00;0,00;0,00;0,00
35;"Ko?arka?ki klub ""Me?imurje"" - 49,49A";11,56;31,42;1,93;31,42;2,12;31,42;2,37
36;Ra?un. I financ. Kolari? j.d.o.o -83;185,99;23,09;1,42;23,09;1,56;23,09;1,74
37;Udruga umirovljenika Me?imurske ?upanije - 85,87,88;168,51;56,70;3,49;56,70;3,82;56,70;4,28
38;Me?imurska ?upanija ?akovec ROMI UZOR - 31;3,35;10,69;0,66;10,69;0,72;10,69;0,81
39;Kristina Horvat Bla?inovi?-soba 6-Hrv. dr. lik. umjetnika M?;20,28;20,62;1,27;20,62;1,39;20,62;1,56
40;Stela Horvat sobe 56a i 57-Hrv. dru?tvo lik. umjetnika M?;22,30;22,75;1,40;22,75;1,53;22,75;1,72
41;Bojan Miljan?i? soba 55 i 56-Hrv. dru?tvo lik. umjetnika M?;29,84;30,47;1,87;30,47;2,05;30,47;2,30
42;Me?imurska ?upanija ?akovec - Centar za pom. - 47,47A;181,75;28,53;1,75;28,53;1,92;28,53;2,15
43;HZZO ?akovec - 71,72,73,21,43,44A,52,53,83A;80,76;37,10;2,28;37,10;2,50;37,10;2,80
44;GKP ?akom d.o.o.- 44B(46,61),42(10),58(13,69),5(8,63),46(8,99),22A(13,5);159,44;101,42;6,24;0,00;0,00;0,00;0,00
45;Udruga nezaposlenih i obespravljenih radnika - 45;6,69;21,33;1,31;21,33;1,44;21,33;1,61
46;Rukometni savez Me?imurja - 53A;27,33;22,14;1,36;22,14;1,49;22,14;1,67
47;Udruga invalida rada Me?imurske ?upanije - 49B;124,11;20,76;1,28;20,76;1,40;20,76;1,57
48;"Gljivarsko dru?tvo ""Smr?ak"" - 59";77,45;8,69;0,53;8,69;0,59;8,69;0,66
49;Za?titarsko ekolo?ka uruga NOBILIS - 69;11,15;16,60;1,02;16,60;1,12;16,60;1,25
