1.;Elmont Me?imurje - 74,75,76;172,53;44,28;2,72;44,28;2,96;44,28;3,31
2.;Vodoinstalateri - 79,80,81,82,84;94,78;66,61;4,10;225,80;15,09;66,61;4,98
3.;Udruga hrvatskih vojnih invalida domovinskog rata Jug - 30;18,21;20,40;1,25;20,40;1,36;20,40;1,53
4.;Hrvatska stranka prava Dr.Ante Star?evi? - 54;6,47;16,62;1,02;16,62;1,11;16,62;1,24
5.;Agacija p?elarska udruga - 26,26A;10,12;22,70;1,40;22,70;1,52;22,70;1,70
6.;"Udruga ""Lotos"", ?akovec - 61,62,63 dio";195,81;63,41;3,90;63,41;4,24;63,41;4,74
7.;"Pjeva?ki zbor"" Josip ?tolcer Slavenski"" - 27";26,65;37,68;2,32;37,68;2,52;37,68;2,82
8.;Udruga inovatora Me?imurja Inoma - 33;6,70;17,20;1,06;17,20;1,15;17,20;1,29
9.;Dru?tvo pedagoga tehni?ke kulture Me?im. ?upanije - 37,38;12,82;30,72;1,89;30,72;2,05;30,72;2,30
10.;Dru?tvo multipleskleroze Hrvatske, sekcija Me?. ?up. - 63,64,65;79,84;44,63;2,74;44,63;2,98;44,63;3,34
11.;Udruga me?imurske mame i trudnice - 48,48A,48B;59,75;38,10;2,34;38,10;2,55;38,10;2,85
12.;Sathya sai Vije?e Hrvatske - 23;43,33;13,50;0,83;13,50;0,90;13,50;1,01
13.;"Me?imurski biciklisti?ki klub ""Mura"" - 28,28A";8,14;20,91;1,29;20,91;1,40;20,91;1,56
14.;"Ving chun kung fu klub ""Gemma"" - 89,90,91";180,28;59,79;3,68;59,79;4,00;59,79;4,47
15.;Ministarstvo branitelja - 50,51,51A ;193,38;47,30;2,91;47,30;3,16;47,30;3,54
16.;"Udruga ""Sklad"" - 3,4";18,52;25,60;1,57;25,60;1,71;25,60;1,91
17.;"Udruga ""Umije?e ?ivljenja"" - 39,40";95,78;37,24;2,29;37,24;2,49;37,24;2,78
18.;Grad ?akovec - 34,35,78;207,34;74,37;4,57;74,37;4,97;74,37;5,56
19.;Radio klub Me?imurje - 60;7,05;18,12;1,11;18,12;1,21;18,12;1,35
20.;Udruga Kreativci Me?imurja - 44;83,17;48,8;3,00;48,8;3,26;48,8;3,65
21.;?upanijska liga protiv raka   klub laringektamiranih - 86;59,71;21,52;1,32;21,52;1,44;21,52;1,61
22.;Ko?arka?ki savez Me?imurske ?upanije - 1;6,64;13,77;0,85;13,77;0,92;13,77;1,03
23.;Udruga Zora - 67,68;86,68;30,37;1,87;30,37;2,03;30,37;2,27
24.;"Udruga za razvoj kulture ""ETNO"" - 43A";8,65;20,00;1,23;20,00;1,34;20,00;1,50
25.;Udruga za sindrom Down M? - 93,94;22,02;29,09;1,79;29,09;1,94;29,09;2,18
26.;?portsko ribolovno dru?tvo ?akovec - 77;3,11;8,00;0,49;8,00;0,53;8,00;0,60
27.;Savez sportskih ribolovnih dru?tava Me?imurje - 25;90,82;13,50;0,83;13,50;0,90;13,50;1,01
28.;Ambijenti, ?akovec - 1,2,3,4,5,6,7,8,9,10,10A,13;770,06;168,79;10,38;18,29;1,22;18,29;1,37
29.;Ambijenti, ?akovec;0,00;50,30;3,09;0,00;0,00;0,00;0,00
30.;Padobranski klub LUDUS - 32;9,45;17,67;1,09;17,67;1,18;17,67;1,32
31.;Udruga Vukovarskih branitelja i log .Me?.?upanije - 22;10,19;26,18;1,61;26,18;1,75;26,18;1,96
32.;Zajednica HKUU Me?imimurske ?upanije;5,12;13,16;0,81;13,16;0,88;13,16;0,98
33.;Me?imurje Wireless - 24;5,69;13,50;0,83;13,50;0,90;13,50;1,01
34.;Tehnoing - 7,8,9,10,11;57,35;0,00;0,00;0,00;0,00;0,00;0,00
35.;"Ko?arka?ki klub ""Me?imurje"" - 49,49A";23,78;31,42;1,93;31,42;2,10;31,42;2,35
36.;Ra?un. I financ. Kolari? j.d.o.o -83;133,05;23,09;1,42;23,09;1,54;23,09;1,73
